P-0158	 | -->	สาย Shock Tube 	 | -->	11	 = 	เมตร
P-0166	 | -->	ฟิว เรย์ทิวป์ 	 | -->	11	 = 	เมตร
P-0171	 | -->	สายไฟ	 | -->	11	 = 	เมตร
P-0183	 | -->	เหล็กเส้น 	 | -->	11	 = 	เมตร
P-0184	 | -->	ทองเหลืองเส้นผ่าศูนย์กลาง 	 | -->	11	 = 	เมตร
P-0185	 | -->	ท่อทองแดง	 | -->	11	 = 	เมตร
P-0186	 | -->	กระดาษปิดดินส่งกระสุนปืนใหญ่ 	 | -->	11	 = 	เมตร
P-0159	 | -->	ตัวถ่วงเวลา (RMS) 	 | -->	12	 = 	แท่ง
P-0160	 | -->	ตัวถ่วงเวลา (MSD) 	 | -->	12	 = 	แท่ง
P-0161	 | -->	ตัวถ่วงเวลา (LTD) 	 | -->	12	 = 	แท่ง
P-0162	 | -->	ตัวถ่วงเวลา (DTH) 	 | -->	12	 = 	แท่ง
P-0118	 | -->	แอมโมเนียมไนเตรท	 | -->	5	 = 	กิโลกรัม
P-0119	 | -->	LEAD CHROMATE	 | -->	5	 = 	กิโลกรัม
P-0120	 | -->	RED LEAD	 | -->	5	 = 	กิโลกรัม
P-0121	 | -->	Carbon Powder	 | -->	5	 = 	กิโลกรัม
P-0122	 | -->	Nc 3.8% Laquer N-1096	 | -->	5	 = 	กิโลกรัม
P-0123	 | -->	Nc 16% Laquer N-1097	 | -->	5	 = 	กิโลกรัม
P-0124	 | -->	Calciam Nitrate	 | -->	5	 = 	กิโลกรัม
P-0127	 | -->	Guar Gum	 | -->	5	 = 	กิโลกรัม
P-0128	 | -->	Glass Micro Balloon	 | -->	5	 = 	กิโลกรัม
P-0129	 | -->	ไมโครแวกส์	 | -->	5	 = 	กิโลกรัม
P-0130	 | -->	Potassium Pyroantimonate	 | -->	5	 = 	กิโลกรัม
P-0131	 | -->	Sugar	 | -->	5	 = 	กิโลกรัม
P-0132	 | -->	Aluminum Powder (Coated)	 | -->	5	 = 	กิโลกรัม
P-0133	 | -->	Aluminum Powder (Uncoated)	 | -->	5	 = 	กิโลกรัม
P-0134	 | -->	Aluminum Flake	 | -->	5	 = 	กิโลกรัม
P-0135	 | -->	Anformul S6 (SMO)	 | -->	5	 = 	กิโลกรัม
P-0136	 | -->	Anformul P 3000 (PIBSA)	 | -->	5	 = 	กิโลกรัม
P-0137	 | -->	Urea	 | -->	5	 = 	กิโลกรัม
P-0138	 | -->	PETN (แห้ง) 	 | -->	5	 = 	กิโลกรัม
P-0139	 | -->	PETN (เปียก) 	 | -->	5	 = 	กิโลกรัม
P-0140	 | -->	โซเดียมเปอร์คลอเรท (Sodium Perchlorate)	 | -->	5	 = 	กิโลกรัม
P-0141	 | -->	Paraffin Wax	 | -->	5	 = 	กิโลกรัม
P-0142	 | -->	อีมัลซิฟายเออร์ ลูบริซอล	 | -->	5	 = 	กิโลกรัม
P-0143	 | -->	Paraffin Oil	 | -->	5	 = 	กิโลกรัม
P-0144	 | -->	ไมโครคริสแตลไลน์แวกส์ (MICROCRYSTALLIN  WAX)	 | -->	5	 = 	กิโลกรัม
P-0146	 | -->	โปตัสเซียมคลอเรท	 | -->	5	 = 	กิโลกรัม
P-0147	 | -->	โปตัสเซียมไนเตรท 	 | -->	5	 = 	กิโลกรัม
P-0176	 | -->	พลาสติกปลั๊ก ตัวสั้น	 | -->	5	 = 	กิโลกรัม
P-0177	 | -->	พลาสติกปลั๊ก ตัวยาว	 | -->	5	 = 	กิโลกรัม
P-0178	 | -->	แผ่นทองเหลือง	 | -->	5	 = 	กิโลกรัม
P-0179	 | -->	ทองเหลืองจาน 	 | -->	5	 = 	กิโลกรัม
P-0180	 | -->	แผ่นเหล็ก 	 | -->	5	 = 	กิโลกรัม
P-0181	 | -->	ทองแดง 	 | -->	5	 = 	กิโลกรัม
P-0182	 | -->	เหล็กเพลาขาว	 | -->	5	 = 	กิโลกรัม
P-0304	 | -->	ดินส่งกระสุนปืนชนิดขับลูกปืน 	 | -->	5	 = 	กิโลกรัม
P-0305	 | -->	ดินส่งกระสุนปืนชนิดฐานคู่ 	 | -->	5	 = 	กิโลกรัม
P-0163	 | -->	ปลอกเชื้อปะทุเปล่า 	 | -->	2	 = 	ชิ้น
P-0167	 | -->	Neropren Plugs	 | -->	2	 = 	ชิ้น
P-0172	 | -->	จุกพลาสติก	 | -->	2	 = 	ชิ้น
P-0175	 | -->	Mettalic Comb Frames	 | -->	2	 = 	ชิ้น
P-0285	 | -->	ชนวนท้าย .32 นิ้ว	 | -->	1	 = 	อัน
P-0287	 | -->	ชนวนท้าย .45 นิ้ว	 | -->	1	 = 	อัน
P-0292	 | -->	ชนวนท้าย .25 นิ้ว	 | -->	1	 = 	อัน
P-0293	 | -->	ชนวนท้าย 7.62 มิลลิเมตร	 | -->	1	 = 	อัน
P-0294	 | -->	ชนวนท้ายใหญ่ 9 มิลลิเมตร	 | -->	1	 = 	อัน
P-0296	 | -->	ถ้วยครอบชนวน 30 มิลลิเมตร	 | -->	2	 = 	ชิ้น
P-0297	 | -->	เรือนไพรเมอร์ ชนวน 30 มิลลิเมตร	 | -->	2	 = 	ชิ้น
P-0298	 | -->	ค้อนตี ชนวน 30 มิลลิเมตร	 | -->	2	 = 	ชิ้น
P-0299	 | -->	ชนวนท้าย  .22 นิ้ว	 | -->	1	 = 	อัน
P-0301	 | -->	จอกทองเหลืองปลอกกระสุน ขนาด 5.56 มิลลิเมตร	 | -->	5	 = 	กิโลกรัม
P-0307	 | -->	แผ่นใส TRANSPARENT DISCS 	 | -->	2	 = 	ชิ้น
P-0016	 | -->	ชนิดถ่วงเวลา MSD 	 | -->	13	 = 	ดอก
P-0148	 | -->	เชื้อปะทุไฟฟ้า แบบกึ่งสำเร็จรูป INSTANTANEOUS ELECTRIC DETONATOR (SEMI - FINISHED GOODS) ชนิดธรรมดา	 | -->	13	 = 	ดอก
P-0149	 | -->	เชื้อปะทุไฟฟ้า แบบกึ่งสำเร็จรูป MILLISECOND ELECTRIC DELAY DETONATOR (SEMI - FINISHED GOODS) ชนิดถ่วงเวลา	 | -->	13	 = 	ดอก
P-0151	 | -->	เชื้อปะทุธรรมดา 	 | -->	13	 = 	ดอก
P-0152	 | -->	เชื้อปะทุธรรมดาพร้อมตัวถ่วงเวลา 	 | -->	13	 = 	ดอก
P-0145	 | -->	น้ำยาบัดกรี 	 | -->	5	 = 	กิโลกรัม
P-0187	 | -->	ปลอกกระสุนปืน .22 นิ้ว	 | -->	9	 = 	ปลอก
P-0189	 | -->	ปลอกกระสุนปืน .25 นิ้ว	 | -->	9	 = 	ปลอก
P-0192	 | -->	ปลอกกระสุนปืน .44 นิ้ว	 | -->	9	 = 	ปลอก
P-0194	 | -->	ปลอกกระสุนปืน 7.62 มิลลิเมตร (.308 นิ้ว)	 | -->	9	 = 	ปลอก
P-0197	 | -->	ปลอกกระสุนปืน .45 นิ้ว	 | -->	9	 = 	ปลอก
P-0202	 | -->	ปลอกกระสุนปืน .357 นิ้ว	 | -->	9	 = 	ปลอก
P-0207	 | -->	ปลอกกระสุนปืน 5.56 มิลลิเมตร (.223 นิ้ว)	 | -->	9	 = 	ปลอก
P-0481	 | -->	หัวกระสุนปืน (จริง) 7.65 มิลลิเมตร	 | -->	8	 = 	หัว
P-0212	 | -->	ปลอกกระสุนปืน 7.65 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0482	 | -->	หัวกระสุนปืนใหญ่ (ไม่มีวัตถุระเบิด) 105 มิลลิเมตร	 | -->	8	 = 	หัว
P-0484	 | -->	หัวกระสุนปืนใหญ่ (จริง) 105 มิลลิเมตร	 | -->	8	 = 	หัว
P-0486	 | -->	หัวกระสุนปืนใหญ่ (ซ้อม) 20 มิลลิเมตร	 | -->	8	 = 	หัว
P-0219	 | -->	ปลอกกระสุนปืน .38 นิ้ว	 | -->	9	 = 	ปลอก
P-0488	 | -->	หัวกระสุนปืนใหญ่ (จริง) 20 มิลลิเมตร	 | -->	8	 = 	หัว
P-0222	 | -->	ปลอกกระสุนปืน 6.35 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0490	 | -->	หัวกระสุนปืนใหญ่ (ซ้อม) 23 มิลลิเมตร	 | -->	8	 = 	หัว
P-0495	 | -->	หัวกระสุนปืนใหญ่ (ซ้อม) 30 มิลลิเมตร	 | -->	8	 = 	หัว
P-0227	 | -->	ปลอกกระสุนปืน 9 มิลลิเมตร	 | -->	9	 = 	ปลอก
P-0494	 | -->	หัวกระสุนปืนใหญ่ (จริง) 23 มิลลิเมตร	 | -->	8	 = 	หัว
P-0497	 | -->	หัวกระสุนปืนใหญ่ (จริง) 30 มิลลิเมตร	 | -->	8	 = 	หัว
P-0232	 | -->	ปลอกกระสุนปืน .40 นิ้ว	 | -->	9	 = 	ปลอก
P-0499	 | -->	หัวกระสุนปืนใหญ่ (ซ้อม) 37 มิลลิเมตร	 | -->	8	 = 	หัว
P-0501	 | -->	หัวกระสุนปืนใหญ่ (จริง) 37 มิลลิเมตร	 | -->	8	 = 	หัว
P-0237	 | -->	ปลอกกระสุนปืน .380 นิ้ว	 | -->	9	 = 	ปลอก
P-0503	 | -->	หัวกระสุนปืนใหญ่ (ซ้อม) 40 มิลลิเมตร	 | -->	8	 = 	หัว
P-0505	 | -->	หัวกระสุนปืนใหญ่ (จริง) 40 มิลลิเมตร	 | -->	8	 = 	หัว
P-0507	 | -->	หัวกระสุนปืนใหญ่ (ซ้อม) 75 มิลลิเมตร	 | -->	8	 = 	หัว
P-0509	 | -->	หัวกระสุนปืนใหญ่ (จริง) 75 มิลลิเมตร	 | -->	8	 = 	หัว
P-0247	 | -->	ปลอกกระสุนปืนลูกซอง 	 | -->	9	 = 	ปลอก
P-0511	 | -->	เครื่องประกอบรวมกระสุนปืน ยี่ห้อ CORTIN & PEZZOTTI รุ่น MAYOR	 | -->	3	 = 	เครื่อง
P-0512	 | -->	สารเคมีขัดเงาสำหรับทองเหลือง	 | -->	5	 = 	กิโลกรัม
P-0514	 | -->	สีเคลือบสีดำ XYLAN 5250/K13320	 | -->	5	 = 	กิโลกรัม
P-0517	 | -->	ตัวประคองปลอกกระสุนปืนเข้าจานล็อกปลอก 1 #5	 | -->	2	 = 	ชิ้น
P-0515	 | -->	อุปกรณ์สำหรับปรับขยายปลอกกระสุน S3 RELOAD 9MM LUGER SIZING AND FLARING DIES	 | -->	4	 = 	ชุด
P-0516	 | -->	ตัวประคองปลอกกระสุนปืนเข้าจานล็อกปลอก 1 #2	 | -->	2	 = 	ชิ้น
